NMU,ANO,SIFI,FCMI,MCSI,SUPCOM,INSND
Abadia de Goiás,2010,3234,1139,1103,328,0
Abadiânia,2010,7968,2335,2626,474,88
Acreúna,2010,10872,2421,3072,696,67
Adelândia,2010,1307,343,434,65,0
Água Fria de Goiás,2010,2798,611,727,97,6
Água Limpa,2010,1001,356,355,71,2
Águas Lindas de Goiás,2010,72702,26326,24822,1846,831
Alexânia,2010,11800,3441,3677,817,25
Aloândia,2010,1126,297,307,104,0
Alto Horizonte,2010,2240,608,823,148,0
Alto Paraíso de Goiás,2010,2986,912,1303,446,6
Alvorada do Norte,2010,4182,940,1175,213,120
Amaralina,2010,2095,478,241,97,17
Americano do Brasil,2010,2817,1017,820,117,0
Amorinópolis,2010,2050,618,395,127,3
Anápolis,2010,126404,55398,77495,25386,894
Anhanguera,2010,387,188,220,91,0
Anicuns,2010,9904,3052,3465,1003,138
Aparecida de Goiânia,2010,184036,75504,93811,20608,5690
Aparecida do Rio Doce,2010,1214,305,318,135,103
Aporé,2010,1959,638,433,155,3
Araçu,2010,2203,467,574,120,17
Aragarças,2010,7584,3122,3978,934,39
Aragoiânia,2010,4403,1031,1314,300,34
Araguapaz,2010,4016,1109,1059,216,13
Arenópolis,2010,1854,498,391,118,8
Aruanã,2010,3944,1089,908,219,18
Aurilândia,2010,2011,403,656,171,31
Avelinópolis,2010,1461,296,267,73,28
Baliza,2010,2212,479,398,144,2
Barro Alto,2010,3853,1258,1868,347,21
Bela Vista de Goiás,2010,11884,3714,4310,955,195
Bom Jardim de Goiás,2010,4732,1082,1029,310,100
Bom Jesus de Goiás,2010,10427,3261,2710,815,146
Bonfinópolis,2010,3850,1145,1111,194,11
Bonópolis,2010,2093,401,358,75,0
Brazabrantes,2010,1681,467,616,73,0
Britânia,2010,3066,725,709,206,13
Buriti Alegre,2010,4337,1377,1534,426,172
Buriti de Goiás,2010,1443,335,382,93,0
Buritinópolis,2010,1742,456,519,45,0
Cabeceiras,2010,3765,1004,1052,275,12
Cachoeira Alta,2010,5193,1632,1750,440,18
Cachoeira de Goiás,2010,691,253,224,64,0
Cachoeira Dourada,2010,4171,1353,1199,315,80
Caçu,2010,6730,1848,2311,628,52
Caiapônia,2010,8873,2679,2382,596,78
Caldas Novas,2010,28547,12606,14302,4246,118
Caldazinha,2010,1656,588,484,139,12
Campestre de Goiás,2010,1863,550,432,53,18
Campinaçu,2010,2211,691,178,48,6
Campinorte,2010,5891,1620,1500,303,78
Campo Alegre de Goiás,2010,3024,920,754,298,17
Campo Limpo de Goiás,2010,3434,887,649,130,32
Campos Belos,2010,8559,2451,3147,1002,37
Campos Verdes,2010,2781,737,660,100,37
Carmo do Rio Verde,2010,4301,1377,1650,352,10
Castelândia,2010,1865,570,517,102,55
Catalão,2010,32422,12665,22188,7162,123
Caturaí,2010,2637,666,537,149,2
Cavalcante,2010,5458,875,923,207,0
Ceres,2010,8193,3215,5239,1534,18
Cezarina,2010,3431,1203,1593,276,31
Chapadão do Céu,2010,2792,1328,1241,342,8
Cidade Ocidental,2010,21811,9243,12055,2059,210
Cocalzinho de Goiás,2010,9094,2816,2123,368,46
Colinas do Sul,2010,1823,452,519,101,0
Córrego do Ouro,2010,1389,345,378,142,16
Corumbá de Goiás,2010,5400,1427,1465,400,39
Corumbaíba,2010,4048,1392,1089,497,20
Cristalina,2010,21717,6592,7363,2058,277
Cristianópolis,2010,1626,304,475,121,0
Crixás,2010,7457,2247,2944,863,15
Cromínia,2010,1758,545,606,177,9
Cumari,2010,1369,410,641,182,13
Damianópolis,2010,1812,355,534,89,0
Damolândia,2010,1488,387,419,103,0
Davinópolis,2010,1075,259,401,49,4
Diorama,2010,1172,470,437,92,0
Doverlândia,2010,4610,1184,778,255,9
Edealina,2010,2021,526,542,145,4
Edéia,2010,5239,1763,2127,571,23
Estrela do Norte,2010,1783,450,544,125,0
Faina,2010,4015,1075,755,171,39
Fazenda Nova,2010,3393,1030,874,249,24
Firminópolis,2010,5442,1580,2717,504,6
Flores de Goiás,2010,7054,1176,1392,205,102
Formosa,2010,40381,14444,20604,7160,314
Formoso,2010,2315,721,929,232,6
Gameleira de Goiás,2010,1997,319,332,90,0
Divinópolis de Goiás,2010,2628,555,768,143,4
Goianápolis,2010,5383,1408,1775,359,41
Goiandira,2010,2150,825,1217,374,15
Goianésia,2010,28205,9351,9898,3207,106
Goiânia,2010,386374,205961,353371,177697,7119
Goianira,2010,16553,5413,5617,718,127
Goiás,2010,12211,2953,4376,1769,255
Goiatuba,2010,15178,5023,5070,2229,381
Gouvelândia,2010,2676,625,706,167,18
Guapó,2010,7371,1771,2366,355,66
Guaraíta,2010,1281,346,367,90,0
Guarani de Goiás,2010,2312,542,580,100,55
Guarinos,2010,1402,302,263,39,1
Heitoraí,2010,1799,593,576,112,0
Hidrolândia,2010,8191,2599,3023,853,49
Hidrolina,2010,2230,573,593,136,5
Iaciara,2010,6531,1451,1551,343,12
Inaciolândia,2010,2978,659,937,170,62
Indiara,2010,7038,2175,1842,463,124
Inhumas,2010,24247,8019,6995,2609,191
Ipameri,2010,12429,3529,3963,1275,173
Ipiranga de Goiás,2010,1529,432,471,79,0
Iporá,2010,14556,4543,6443,1922,102
Israelândia,2010,1480,399,532,104,38
Itaberaí,2010,17426,5702,5322,1734,91
Itaguari,2010,2338,643,808,118,2
Itaguaru,2010,2764,803,1011,204,6
Itajá,2010,2703,652,719,315,13
Itapaci,2010,8884,2993,3111,641,30
Itapirapuã,2010,4593,984,1010,224,0
Itapuranga,2010,13232,3506,4695,1343,92
Itarumã,2010,3557,795,698,275,0
Itauçu,2010,4285,1231,1585,392,67
Itumbiara,2010,38888,14759,19646,6716,713
Ivolândia,2010,1428,405,395,110,2
Jandaia,2010,3151,1025,975,254,6
Jaraguá,2010,21411,5619,6610,1524,78
Jataí,2010,37368,13861,16951,6030,501
Jaupaci,2010,1667,316,500,104,14
Jesúpolis,2010,1325,326,239,72,0
Joviânia,2010,3595,1037,1131,321,30
Jussara,2010,9016,3021,3185,1198,155
Lagoa Santa,2010,636,176,191,85,3
Leopoldo de Bulhões,2010,4406,900,1100,247,0
Luziânia,2010,77304,25712,32364,5439,1053
Mairipotaba,2010,1157,392,396,128,10
Mambaí,2010,3953,724,672,87,67
Mara Rosa,2010,5950,1086,1628,477,18
Marzagão,2010,1074,306,312,88,2
Matrinchã,2010,2412,652,595,124,5
Maurilândia,2010,5963,1661,1605,204,26
Mimoso de Goiás,2010,1454,363,366,64,6
Minaçu,2010,14277,5061,6160,1116,77
Mineiros,2010,25490,7840,8110,3397,204
Moiporá,2010,971,200,337,55,0
Monte Alegre de Goiás,2010,4248,871,965,155,0
Montes Claros de Goiás,2010,3974,1308,1235,376,47
Montividiu,2010,4839,1790,1886,350,64
Montividiu do Norte,2010,2287,542,423,106,41
Morrinhos,2010,19820,5783,7648,2546,180
Morro Agudo de Goiás,2010,1249,338,413,59,2
Mossâmedes,2010,2732,711,784,198,6
Mozarlândia,2010,6692,2066,2281,288,40
Mundo Novo,2010,3872,841,567,152,21
Mutunópolis,2010,2066,588,523,93,31
Nazário,2010,3973,1163,1357,280,22
Nerópolis,2010,10272,3877,5166,949,256
Niquelândia,2010,18817,6803,8451,1449,175
Nova América,2010,1243,313,319,101,12
Nova Aurora,2010,910,327,434,113,0
Nova Crixás,2010,7145,1469,1068,313,78
Nova Glória,2010,4709,1260,1182,240,4
Nova Iguaçu de Goiás,2010,1579,405,320,93,15
Nova Roma,2010,1923,429,455,72,26
Nova Veneza,2010,3862,1075,1732,285,6
Novo Brasil,2010,1971,438,578,125,19
Novo Gama,2010,42689,13758,17006,1727,1095
Novo Planalto,2010,2262,490,529,127,0
Orizona,2010,7472,2046,2240,689,57
Ouro Verde de Goiás,2010,1868,843,630,150,0
Ouvidor,2010,2355,604,1323,339,123
Padre Bernardo,2010,14736,3624,3484,496,49
Palestina de Goiás,2010,1601,662,568,123,0
Palmeiras de Goiás,2010,11442,3613,4028,975,50
Palmelo,2010,1108,369,428,127,5
Palminópolis,2010,1900,540,512,125,78
Panamá,2010,1437,399,384,93,0
Paranaiguara,2010,4552,1227,1484,455,106
Paraúna,2010,5902,1795,1082,440,80
Perolândia,2010,1563,563,212,149,3
Petrolina de Goiás,2010,5145,1675,1767,308,134
Pilar de Goiás,2010,1575,364,416,73,0
Piracanjuba,2010,12424,3580,3527,1454,94
Piranhas,2010,5577,1716,1838,799,8
Pirenópolis,2010,11224,3054,3955,1049,134
Pires do Rio,2010,12888,4477,5805,1778,146
Planaltina,2010,38925,11242,14123,1830,131
Pontalina,2010,9583,2149,2460,742,37
Porangatu,2010,18813,6620,7310,2223,738
Porteirão,2010,1803,422,418,132,8
Portelândia,2010,2195,542,343,118,51
Posse,2010,15755,3955,4739,1167,106
Professor Jamil,2010,1703,501,454,115,11
Quirinópolis,2010,19785,6708,7437,2924,177
Rialma,2010,4705,1769,2194,452,13
Rianápolis,2010,2442,582,714,129,3
Rio Quente,2010,1350,576,639,178,15
Rio Verde,2010,72145,28056,35857,12196,980
Rubiataba,2010,9025,2932,3434,875,108
Sanclerlândia,2010,3705,1208,1323,330,6
Santa Bárbara de Goiás,2010,2851,978,887,152,7
Santa Cruz de Goiás,2010,1798,401,451,75,0
Santa Fé de Goiás,2010,2376,669,773,187,0
Santa Helena de Goiás,2010,17367,5113,6804,1809,165
Santa Isabel,2010,2022,480,630,120,0
Santa Rita do Araguaia,2010,3217,906,1284,414,0
Santa Rita do Novo Destino,2010,1921,418,305,74,12
Santa Rosa de Goiás,2010,1550,477,440,85,5
Santa Tereza de Goiás,2010,2035,623,523,168,37
Santa Terezinha de Goiás,2010,5200,1716,1668,268,61
Santo Antônio da Barra,2010,2394,531,606,138,69
Santo Antônio de Goiás,2010,2087,734,976,170,1
Santo Antônio do Descoberto,2010,30101,8864,10315,1137,266
São Domingos,2010,6692,1286,993,296,20
São Francisco de Goiás,2010,3532,804,739,156,26
São João d'Aliança,2010,4611,1584,1694,342,6
São João da Paraúna,2010,824,225,325,107,1
São Luís de Montes Belos,2010,13471,4512,6282,1708,296
São Luiz do Norte,2010,2386,641,668,176,0
São Miguel do Araguaia,2010,11985,3147,2881,982,133
São Miguel do Passa Quatro,2010,1846,621,530,170,12
São Patrício,2010,1097,299,288,66,0
São Simão,2010,8504,2282,3196,874,42
Senador Canedo,2010,36152,14358,16553,2277,392
Serranópolis,2010,4082,949,1018,264,50
Silvânia,2010,9718,2592,2872,1069,131
Simolândia,2010,3457,675,1013,132,7
Sítio d'Abadia,2010,1646,391,264,50,0
Taquaral de Goiás,2010,1859,522,615,137,58
Teresina de Goiás,2010,1483,386,432,90,0
Terezópolis de Goiás,2010,3158,981,1102,156,21
Três Ranchos,2010,1182,615,480,178,28
Trindade,2010,47552,17268,19232,3454,839
Trombas,2010,1876,508,465,126,0
Turvânia,2010,2532,636,853,221,14
Turvelândia,2010,2281,589,638,113,3
Uirapuru,2010,1620,441,332,113,0
Uruaçu,2010,16934,5789,6793,1883,80
Uruana,2010,7099,2148,2167,514,73
Urutaí,2010,1365,401,662,220,5
Valparaíso de Goiás,2010,45166,22054,34124,6545,853
Varjão,2010,2048,549,486,98,3
Vianópolis,2010,6253,1930,2020,480,72
Vicentinópolis,2010,3934,936,1021,283,18
Vila Boa,2010,2335,600,724,80,69
Vila Propício,2010,2938,873,377,87,22
